name,orcid,institution
Daniel Cottle,0000-0001-5949-6352,University of Birmingham
Helen Cramman,0000-0002-8684-4882,University of Durham
Louise Dash,0009-0005-8254-3598,University College London
Michael Fox,0000-0002-4425-2934,Imperial College London
Ross Galloway,0000-0003-0757-9628,University of Edinburgh
Laura Gray,0009-0002-7653-2006,University of Strathclyde
Nicolas Labrosse,0000-0002-4638-157X,University of Glasgow
Iain Moore,0000-0002-7180-4079,University of Strathclyde
William Stafford,0009-0009-9533-2940,University of Edinburgh
Anna Wood,0000-0003-3123-4021,University of Edinburgh
